date,published,value
2008-06-01,2008-07-01,1066.0
2008-07-01,2008-08-01,965.0
2008-08-01,2008-09-01,895.0
2008-09-01,2008-10-01,817.0
2008-10-01,2008-11-01,791.0
2008-11-01,2008-12-01,625.0
2008-12-01,2009-01-01,550.0
2009-01-01,2009-02-01,466.0
2009-02-01,2009-03-01,583.0
2009-03-01,2009-04-01,510.0
2009-04-01,2009-05-01,458.0
2009-05-01,2009-06-01,532.0
2009-06-01,2009-07-01,582.0
2009-07-01,2009-08-01,581.0
2009-08-01,2009-09-01,598.0
2009-09-01,2009-10-01,590.0
2009-10-01,2009-11-01,529.0
2009-11-01,2009-12-01,574.0
2009-12-01,2010-01-01,557.0
2010-01-01,2010-02-01,591.0
2010-02-01,2010-03-01,575.0
2010-03-01,2010-04-01,626.0
2010-04-01,2010-05-01,672.0
2010-05-01,2010-06-01,593.0
2010-06-01,2010-07-01,549.0
2010-07-01,2010-08-01,546.0
2010-08-01,2010-09-01,598.0
2010-09-01,2010-10-01,610.0
2010-10-01,2010-11-01,519.0
2010-11-01,2010-12-01,555.0
2010-12-01,2011-01-01,529.0
2011-01-01,2011-02-01,596.0
2011-02-01,2011-03-01,479.0
2011-03-01,2011-04-01,549.0
2011-04-01,2011-05-01,523.0
2011-05-01,2011-06-01,560.0
2011-06-01,2011-07-01,629.0
2011-07-01,2011-08-01,604.0
2011-08-01,2011-09-01,571.0
2011-09-01,2011-10-01,658.0
2011-10-01,2011-11-01,628.0
2011-11-01,2011-12-01,685.0
2011-12-01,2012-01-01,657.0
2012-01-01,2012-02-01,699.0
2012-02-01,2012-03-01,698.0
2012-03-01,2012-04-01,654.0
2012-04-01,2012-05-01,717.0
2012-05-01,2012-06-01,708.0
2012-06-01,2012-07-01,760.0
2012-07-01,2012-08-01,746.0
2012-08-01,2012-09-01,750.0
2012-09-01,2012-10-01,872.0
2012-10-01,2012-11-01,894.0
2012-11-01,2012-12-01,861.0
2012-12-01,2013-01-01,954.0
2013-01-01,2013-02-01,890.0
2013-02-01,2013-03-01,917.0
2013-03-01,2013-04-01,1036.0
2013-04-01,2013-05-01,853.0
2013-05-01,2013-06-01,914.0
2013-06-01,2013-07-01,836.0
2013-07-01,2013-08-01,896.0
2013-08-01,2013-09-01,891.0
2013-09-01,2013-12-01,873.0
2013-10-01,2013-12-01,889.0
2013-11-01,2013-12-01,1091.0
2013-12-01,2014-01-01,999.0
2014-01-01,2014-02-01,880.0
2014-02-01,2014-03-01,907.0
2014-03-01,2014-04-01,946.0
2014-04-01,2014-05-01,1072.0
2014-05-01,2014-06-01,1001.0
2014-06-01,2014-07-01,893.0
2014-07-01,2014-08-01,1093.0
2014-08-01,2014-09-01,956.0
2014-09-01,2014-10-01,1017.0
2014-10-01,2014-11-01,1009.0
2014-11-01,2014-12-01,1028.0
2014-12-01,2015-01-01,1089.0
2015-01-01,2015-02-01,1065.0
2015-02-01,2015-03-01,897.0
2015-03-01,2015-04-01,926.0
2015-04-01,2015-05-01,1135.0
2015-05-01,2015-06-01,1036.0
2015-06-01,2015-07-01,1174.0
2015-07-01,2015-08-01,1206.0
2015-08-01,2015-09-01,1126.0
2015-09-01,2015-10-01,1206.0
2015-10-01,2015-11-01,1060.0
2015-11-01,2015-12-01,1173.0
2015-12-01,2016-01-01,1149.0
2016-01-01,2016-02-01,1099.0
2016-02-01,2016-03-01,1178.0
2016-03-01,2016-04-01,1089.0
2016-04-01,2016-05-01,1172.0
2016-05-01,2016-06-01,1164.0
2016-06-01,2016-07-01,1189.0
2016-07-01,2016-08-01,1211.0
2016-08-01,2016-09-01,1142.0
2016-09-01,2016-10-01,1047.0
2016-10-01,2016-11-01,1323.0
2016-11-01,2016-12-01,1090.0
2016-12-01,2017-01-01,1226.0
2017-01-01,2017-02-01,1246.0
2017-02-01,2017-03-01,1288.0
2017-03-01,2017-04-01,1215.0
2017-04-01,2017-05-01,1172.0
2017-05-01,2017-06-01,1092.0
2017-06-01,2017-07-01,1215.0
2017-07-01,2017-08-01,1155.0
2017-08-01,2017-09-01,1180.0
2017-09-01,2017-10-01,1127.0
2017-10-01,2017-11-01,1290.0
2017-11-01,2017-12-01,1297.0
2017-12-01,2018-01-01,1192.0
2018-01-01,2018-02-01,1326.0
2018-02-01,2018-03-01,1236.0
2018-03-01,2018-04-01,1319.0
2018-04-01,2018-05-01,1287.0
2018-05-01,2018-06-01,1350.0
2018-06-01,2018-07-01,1173.0
2018-07-01,2018-08-01,1168.0
2018-08-01,2018-09-01,1282.0
2018-09-01,2018-10-01,1201.0
2018-10-01,2018-11-01,1228.0
2018-11-01,2018-12-01,1256.0
2018-12-01,2019-02-01,1078.0
2019-01-01,2019-03-01,1273.0
2019-02-01,2019-03-01,1162.0
2019-03-01,2019-04-01,1139.0
2019-04-01,2019-05-01,1235.0
2019-05-01,2019-06-01,1269.0
2019-06-01,2019-07-01,1253.0
2019-07-01,2019-08-01,1191.0
2019-08-01,2019-09-01,1364.0
2019-09-01,2019-10-01,1256.0
2019-10-01,2019-11-01,1314.0
2019-11-01,2019-12-01,1365.0
2019-12-01,2020-01-01,1608.0
2020-01-01,2020-02-01,1567.0
2020-02-01,2020-03-01,1599.0
2020-03-01,2020-04-01,1216.0
2020-04-01,2020-05-01,891.0
2020-05-01,2020-06-01,974.0
2020-06-01,2020-07-01,1186.0
2020-07-01,2020-08-01,1496.0
2020-08-01,2020-09-01,1416.0
2020-09-01,2020-10-01,1415.0
2020-10-01,2020-11-01,1530.0
2020-11-01,2020-12-01,1547.0
2020-12-01,2021-01-01,1669.0
2021-01-01,2021-02-01,1580.0
2021-02-01,2021-03-01,1421.0
2021-03-01,2021-04-01,1739.0
2021-04-01,2021-05-01,1569.0
2021-05-01,2021-06-01,1572.0
2021-06-01,2021-07-01,1643.0
2021-07-01,2021-08-01,1534.0
2021-08-01,2021-09-01,1615.0
2021-09-01,2021-10-01,1555.0
2021-10-01,2021-11-01,1520.0
2021-11-01,2021-12-01,1679.0
2021-12-01,2022-01-01,1702.0
2022-01-01,2022-02-01,1638.0
2022-02-01,2022-03-01,1769.0
2022-03-01,2022-04-01,1793.0
2022-04-01,2022-05-01,1724.0
2022-05-01,2022-06-01,1549.0
2022-06-01,2022-07-01,1559.0
2022-07-01,2022-08-01,1446.0
2022-08-01,2022-09-01,1575.0
2022-09-01,2022-10-01,1439.0
2022-10-01,2022-11-01,1425.0
2022-11-01,2022-12-01,1427.0
2022-12-01,2023-01-01,1382.0
2023-01-01,2023-02-01,1309.0
2023-02-01,2023-03-01,1450.0
2023-03-01,2023-04-01,1420.0
2023-04-01,2023-05-01,1401.0
2023-05-01,2023-06-01,1631.0
2023-06-01,2023-07-01,1434.0
2023-07-01,2023-08-01,1452.0
2023-08-01,2023-09-01,1283.0
2023-09-01,2023-10-01,1358.0
2023-10-01,2023-11-01,1372.0
2023-11-01,2023-12-01,1560.0
2023-12-01,2024-01-01,1460.0
2024-01-01,2024-02-01,1331.0
2024-02-01,2024-03-01,1521.0
2024-03-01,2024-04-01,1321.0
2024-04-01,2024-05-01,1360.0
2024-05-01,2024-06-01,1277.0
2024-06-01,2024-07-01,1353.0
2024-07-01,2024-08-01,1238.0
2024-08-01,2024-09-01,1356.0
2024-09-01,2024-10-01,1354.0
2024-10-01,2024-11-01,1311.0
2024-11-01,2024-12-01,1289.0
2024-12-01,2025-01-01,1499.0
2025-01-01,2025-02-01,1366.0
2025-02-01,2025-03-01,1501.0
2025-03-01,2025-04-01,1324.0
2025-04-01,2025-05-01,1361.0
2025-05-01,2025-06-01,1256.0
2025-06-01,2025-07-01,1321.0
2025-07-01,2025-08-01,1428.0
2025-08-01,2025-09-01,1307.0
2025-09-01,2026-01-01,1306.0
2025-10-01,2026-01-01,1246.0
2025-11-01,2026-02-01,1322.0
2025-12-01,2026-02-01,1404.0
2026-01-01,2026-03-01,1487.0
2026-02-01,2026-04-01,1356.0
2026-03-01,2026-04-01,1502.0
2026-04-01,2026-05-01,1465.0
2026-05-01,2026-06-01,1177.0
2026-06-01,2026-07-01,1427.0
2026-07-01,2026-08-01,1239.0
